item_name,price
AAVIKIZHI - BL,250
AAVIKIZHI - DS,350
AAVIKIZHI - F,500
AAVIKIZHI - F AND SH,600
AAVIKIZHI - L,200
AAVIKIZHI - SH,250
ABHYANGAM - BK,100
ABHYANGAM - BL,200
ABHYANGAM - DS,400
ABHYANGAM - F,500
ABHYANGAM - FSH,600
ABHYANGAM - L,100
ABHYANGAM - SH,250
ABHYANGAM SP - F,750
ABHYANGAM-BALA,350
ACCUPUNCTURE,500
AGNI KARMA,250
ANJANAM,100
ARDRAKADIKIZHI - BK,400
ARDRAKADIKIZHI - BL,400
ARDRAKADIKIZHI - DS,550
ARDRAKADIKIZHI - F,950
ARDRAKADIKIZHI - F AND SH,1000
ARDRAKADIKIZHI - L,300
ARDRAKADIKIZHI - SH,400
ASHCHODANA,50
AVAGAHAM - F,800
AVAGAHAM - L,600
AVALKIZHI - BK,250
AVALKIZHI - BL,250
AVALKIZHI - DS,350
AVALKIZHI - F,500
AVALKIZHI - F AND SH,600
AVALKIZHI - L,200
AVALKIZHI - SH,250
AVALKIZHI - SPL,700
AYURVEDIC PANCHAKARMA GOLD PACKAGE,6580
AYURVEDIC PANCHAKARMA PACKAGE,4500
BANDANAM,150
BANDANAM - ANKLE,150
BANDANAM - BK,250
BANDANAM - BL,250
BANDANAM - DHAMANI,250
BANDANAM - ELBOW,150
BANDANAM - FINGER,60
BANDANAM - HIP B,800
BANDANAM - KNEE,150
BANDANAM - OIL,100
BANDANAM - SH,200
BANDANAM - VRANAM,300
BANDANAM - WRIST,125
BANDANAM KATI,200
BANDANAM KATI - B,800
BIDALAKAM,150
CHAVITTI THIRUMU,1500
CHOORNA PINDA SWEDAM - BL,200
CHOORNA PINDA SWEDAM - DS,300
CHOORNA PINDA SWEDAM - F,400
CHOORNA PINDA SWEDAM - F AND SH,500
CHOORNA PINDA SWEDAM - FSH,500
CHOORNA PINDA SWEDAM - L,150
CHOORNA PINDA SWEDAM - SH,200
CHOORNAPINDASWEDA DS,350
CONSULTATION FEE,100
DHAMANIKIZHI - BK,250
DHAMANIKIZHI - BL,250
DHAMANIKIZHI - DS,350
DHAMANIKIZHI - F,500
DHAMANIKIZHI - F AND SH,600
DHAMANIKIZHI - L,200
DHAMANIKIZHI - SH,250
DHANYASWEDAM - DS,500
DHANYASWEDAM B/L,350
DHANYASWEDAM LOCAL,250
DHARA - KS,800
DHARA - KS DS,550
DHARA - KS L,300
